feature,n_methods,score,mw_rank_score,rf_rank_score,elastic_net_rank_score,mi_rank_score,in_mann_whitney,in_random_forest,in_elastic_net,in_mutual_info
K26364,4,3.1258990776069693,0.908289241622575,1.0,0.22261484098939932,0.994994994994995,1,1,1,1
K23396,4,3.120130057703674,0.6860670194003528,0.8078078078078078,0.8975265017667844,0.7287287287287287,1,1,1,1
K00088,4,3.0582694422505967,0.9964726631393298,0.8948948948948949,0.49823321554770317,0.6686686686686687,1,1,1,1
K00243,4,3.048204186013373,0.9947089947089947,0.955955955955956,0.16961130742049468,0.9279279279279279,1,1,1,1
K00784,4,2.999671722875492,0.9805996472663139,0.95995995995996,0.3003533568904594,0.7587587587587588,1,1,1,1
K03547,4,2.970696929471959,0.9188712522045855,0.8658658658658659,0.3851590106007067,0.8008008008008007,1,1,1,1
K24180,4,2.959421140811011,0.9135802469135803,0.9019019019019019,0.5053003533568905,0.6386386386386387,1,1,1,1
K01586,4,2.9078711893788456,0.890652557319224,0.992992992992993,0.1413427561837456,0.8828828828828829,1,1,1,1
K10206,4,2.90742147161464,0.8959435626102292,0.991991991991992,0.6431095406360424,0.37637637637637633,1,1,1,1
K03315,4,2.890151467301055,0.7918871252204586,0.6066066066066066,0.607773851590106,0.8838838838838838,1,1,1,1
K03154,4,2.881120561921504,0.8853615520282188,0.7217217217217218,0.3250883392226148,0.948948948948949,1,1,1,1
K06972,4,2.7857099906569873,0.7195767195767195,0.6426426426426426,0.7137809187279152,0.7097097097097097,1,1,1,1
K07451,4,2.763595498577831,0.35449735449735453,0.8328328328328328,0.9045936395759717,0.6716716716716717,1,1,1,1
K23981,4,2.7576866787703063,0.6578483245149912,0.5705705705705706,0.8515901060070672,0.6776776776776776,1,1,1,1
K01649,4,2.7535036298287183,0.8783068783068784,0.914914914914915,0.15547703180212014,0.8048048048048049,1,1,1,1
K02470,4,2.667173314994281,0.818342151675485,0.7547547547547547,0.2332155477031802,0.8608608608608609,1,1,1,1
K03972,4,2.6563073253297045,0.7072310405643739,0.43743743743743746,0.7208480565371025,0.7907907907907907,1,1,1,1
K01956,4,2.6368788441815534,0.9700176366843034,0.5815815815815816,0.43462897526501765,0.6506506506506506,1,1,1,1
K23397,4,2.615852938585565,0.6754850088183422,0.46346346346346345,0.7561837455830389,0.7207207207207207,1,1,1,1
K07317,4,2.5633892347673264,0.5661375661375662,0.8248248248248249,0.441696113074205,0.7307307307307307,1,1,1,1
K25706,4,2.542145207634018,0.7654320987654322,0.8908908908908909,0.6395759717314488,0.24624624624624625,1,1,1,1
K00957,4,2.4726825091960545,0.9241622574955908,0.9219219219219219,0.17314487632508835,0.45345345345345345,1,1,1,1
